retail,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,fips
220,-31.0,-2.0,4.0,-13.0,-47.0,18.0,20125
221,-31.0,-2.0,4.0,-13.0,-47.0,18.0,21173
222,-31.0,-2.0,4.0,-13.0,-47.0,18.0,24031
223,-31.0,-2.0,4.0,-13.0,-47.0,18.0,28097
224,-31.0,-2.0,4.0,-13.0,-47.0,18.0,29139
225,-31.0,-2.0,4.0,-13.0,-47.0,18.0,36057
226,-31.0,-2.0,4.0,-13.0,-47.0,18.0,37123
227,-31.0,-2.0,4.0,-13.0,-47.0,18.0,39113
228,-31.0,-2.0,4.0,-13.0,-47.0,18.0,42091
229,-31.0,-2.0,4.0,-13.0,-47.0,18.0,47125
230,-31.0,-2.0,4.0,-13.0,-47.0,18.0,48339
231,-31.0,-2.0,4.0,-13.0,-47.0,18.0,51121
232,-38.0,-14.0,8.0,-23.0,-49.0,20.0,1101
233,-38.0,-14.0,8.0,-23.0,-49.0,20.0,5097
234,-38.0,-14.0,8.0,-23.0,-49.0,20.0,13209
235,-38.0,-14.0,8.0,-23.0,-49.0,20.0,17135
236,-38.0,-14.0,8.0,-23.0,-49.0,20.0,18107
237,-38.0,-14.0,8.0,-23.0,-49.0,20.0,19137
238,-38.0,-14.0,8.0,-23.0,-49.0,20.0,20125
239,-38.0,-14.0,8.0,-23.0,-49.0,20.0,21173
240,-38.0,-14.0,8.0,-23.0,-49.0,20.0,24031
241,-38.0,-14.0,8.0,-23.0,-49.0,20.0,28097
242,-38.0,-14.0,8.0,-23.0,-49.0,20.0,29139
243,-38.0,-14.0,8.0,-23.0,-49.0,20.0,36057
244,-38.0,-14.0,8.0,-23.0,-49.0,20.0,37123
245,-38.0,-14.0,8.0,-23.0,-49.0,20.0,39113
246,-38.0,-14.0,8.0,-23.0,-49.0,20.0,42091
247,-38.0,-14.0,8.0,-23.0,-49.0,20.0,47125
248,-38.0,-14.0,8.0,-23.0,-49.0,20.0,48339
249,-38.0,-14.0,8.0,-23.0,-49.0,20.0,51121
250,-30.0,0.0,19.0,-20.0,-38.0,15.0,1103
251,-30.0,0.0,19.0,-20.0,-38.0,15.0,8087
252,-30.0,0.0,19.0,-20.0,-38.0,15.0,13211
253,-30.0,0.0,19.0,-20.0,-38.0,15.0,17137
254,-30.0,0.0,19.0,-20.0,-38.0,15.0,18109
255,-30.0,0.0,19.0,-20.0,-38.0,15.0,21175
256,-30.0,0.0,19.0,-20.0,-38.0,15.0,29141
257,-30.0,0.0,19.0,-20.0,-38.0,15.0,39115
258,-30.0,0.0,19.0,-20.0,-38.0,15.0,47129
259,-30.0,0.0,19.0,-20.0,-38.0,15.0,49029
260,-30.0,0.0,19.0,-20.0,-38.0,15.0,54065
261,-38.0,-5.0,-31.0,-26.0,-47.0,21.0,1125
262,-36.0,0.0,-35.0,-23.0,-46.0,16.0,4001
263,-37.0,-18.0,-32.0,-30.0,-42.0,14.0,4003
264,-44.0,-14.0,-32.0,-36.0,-50.0,19.0,4005
265,-38.0,-18.0,-23.0,-44.0,-51.0,19.0,4013
266,-39.0,-12.0,-39.0,-20.0,-38.0,13.0,4015
