fips,pop_total,pop_density
18141,266931,583
18143,24181,127
18145,44436,108.1
18147,20952,52.8
18149,23363,75.6
18151,34185,110.7
18153,21475,48
18155,10613,48.1
18157,172780,345.7
18159,15936,61.2
18161,7516,46.6
18163,179703,769.7
18165,16212,63.1
18167,107848,267.4
18169,32888,79.7
18171,8508,23.3
18173,59689,155.1
18175,28262,55
18177,68917,171.5
18179,27636,75.1
18181,24643,48.8
18183,33292,99.2
19001,7682,13.5
19003,4029,9.5
19005,14330,22.4
19007,12887,25.9
19009,6119,13.8
19011,26076,36.4
19013,131090,231.7
19015,26306,46
19017,24276,55.7
19019,20958,36.7
19021,20260,35.2
19023,14867,25.6
19025,9670,17
19027,20816,36.6
19029,13956,24.7
19031,18499,31.9
19033,44151,77.7
19035,12072,20.9
19037,12439,24.7
19039,9286,21.5
19041,16667,29.4
19043,18129,23.3
19045,49116,70.7
19047,17096,23.9
19049,66135,112.4
19051,8753,17.4
19053,8457,15.9
19055,17764,30.7
19057,40325,96.9
19059,16667,43.8
19061,93653,154
19063,10302,26
19065,20880,28.6
19067,16303,32.6
19069,10680,18.4
19071,7441,14.6
19073,9336,16.4
19075,12453,24.8
19077,10954,18.5
19079,15673,27.2
19081,11341,19.9
19083,17534,30.8
19085,14928,21.4
19087,20145,46.4
19089,9566,20.2
19091,9815,22.6
19093,7089,16.4
19095,16355,27.9
19097,19848,31.2
19099,36842,50.4
19101,16843,38.7
19103,130882,213.1
19105,20638,35.9
19107,10511,18.1
19109,15543,16
19111,35862,69.3
19113,211226,294.6
19115,11387,28.3
19117,8898,20.7
19119,11581,19.7
19121,15679,27.9
19123,22381,39.2
19125,33309,60.1
19127,40648,71
19129,15059,34.4
19131,10776,23
19133,9243,13.3
19135,7970,18.4
19137,10740,25.3
19139,42745,97.7
19141,14398,25.1
19143,6462,16.2
19145,15932,29.8
19147,9421,16.7
19149,24986,29
19151,7310,12.7
19153,430640,750.5
19155,93158,98
19157,18914,32.3
19159,5131,9.6
19161,10350,18
19163,165224,360.7
19165,12167,20.6
19167,33704,43.9
19169,89542,156.3
19171,17767,24.6
19173,6317,11.9
19175,12534,29.6
19177,7570,15.6
19179,35625,82.5
19181,46225,81.1
19183,21704,38.2
19185,6403,12.2
19187,38013,53.1
19189,10866,27.1
19191,21056,30.5
19193,102172,117.1
19195,7598,19
19197,13229,22.8
20001,13371,26.7
20003,8102,14
20005,16924,39.3
20007,4861,4.3
20009,27674,30.9
20011,15173,23.9
20013,9984,17.5
20015,65880,46.1
20017,2790,3.6
20019,3669,5.7
20021,21603,36.8
20023,2726,2.7
