,fips,cases,deaths,never,rarely,sometimes,frequently,always,retail,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,pop_total,pop_density,candidate,risk_factor
90,21067,170,7,0.031,0.051,0.066,0.20199999999999999,0.65,-42.0,-4.0,11.0,-40.0,-53.0,21.0,295803,1042.8,0,0
91,27123,112,3,0.044000000000000004,0.046,0.086,0.259,0.564,-49.0,-13.0,28.0,-39.0,-56.0,23.0,508640,3341.7,0,0
92,34007,838,22,0.027999999999999997,0.005,0.027000000000000003,0.13699999999999998,0.802,-37.0,4.0,-30.0,-23.0,-42.0,17.0,513657,2321.5,0,1
93,34007,838,22,0.027999999999999997,0.005,0.027000000000000003,0.13699999999999998,0.802,-53.0,-8.0,-5.0,-59.0,-56.0,23.0,513657,2321.5,0,1
94,36087,6413,98,0.011000000000000001,0.018000000000000002,0.054000000000000006,0.195,0.722,-65.0,-4.0,7.0,-57.0,-67.0,30.0,311687,1795.9,0,1
95,37037,24,0,0.006999999999999999,0.025,0.063,0.139,0.7659999999999999,-41.0,-19.0,-33.0,-42.0,-47.0,19.0,63505,93.1,0,0
96,40143,293,16,0.07400000000000001,0.061,0.141,0.243,0.48200000000000004,-32.0,-6.0,28.0,-12.0,-45.0,16.0,603403,1058.1,1,0
97,42045,1034,23,0.01,0.01,0.044000000000000004,0.12300000000000001,0.8140000000000001,-40.0,-21.0,63.0,-52.0,-60.0,25.0,558979,3040.5,0,1
98,42127,47,0,0.004,0.009000000000000001,0.08,0.08,0.828,-48.0,-15.0,70.0,-52.0,-65.0,24.0,52822,72.8,1,0
99,45019,308,1,0.036000000000000004,0.059000000000000004,0.062,0.18600000000000003,0.657,-48.0,-23.0,-50.0,-55.0,-51.0,21.0,350209,382.3,0,0
100,49011,163,2,0.035,0.055,0.077,0.314,0.518,-32.0,3.0,46.0,-30.0,-54.0,21.0,306479,1025.8,1,0
101,49053,27,0,0.034,0.055999999999999994,0.12300000000000001,0.26899999999999996,0.518,-30.0,-6.0,169.0,-6.0,-43.0,15.0,138115,56.9,1,0
102,49053,27,0,0.034,0.055999999999999994,0.12300000000000001,0.26899999999999996,0.518,-35.0,-18.0,71.0,-12.0,-45.0,17.0,138115,56.9,1,0
103,49053,27,0,0.034,0.055999999999999994,0.12300000000000001,0.26899999999999996,0.518,-38.0,-20.0,93.0,-28.0,-57.0,25.0,138115,56.9,1,0
104,49053,27,0,0.034,0.055999999999999994,0.12300000000000001,0.26899999999999996,0.518,-41.0,-18.0,74.0,-52.0,-59.0,23.0,138115,56.9,1,0
105,49053,27,0,0.034,0.055999999999999994,0.12300000000000001,0.26899999999999996,0.518,-42.0,-10.0,39.0,-20.0,-50.0,19.0,138115,56.9,1,0
106,49053,27,0,0.034,0.055999999999999994,0.12300000000000001,0.26899999999999996,0.518,-46.0,-26.0,15.0,-41.0,-51.0,22.0,138115,56.9,1,0
107,49053,27,0,0.034,0.055999999999999994,0.12300000000000001,0.26899999999999996,0.518,-34.0,-11.0,-15.0,-15.0,-37.0,15.0,138115,56.9,1,0
108,53011,190,13,0.02,0.021,0.048,0.17,0.741,-44.0,-20.0,-51.0,-58.0,-58.0,23.0,425363,676.2,0,0
109,53011,190,13,0.02,0.021,0.048,0.17,0.741,-36.0,-16.0,93.0,-34.0,-51.0,19.0,425363,676.2,0,0
110,53031,27,0,0.011000000000000001,0.0,0.064,0.171,0.754,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,29872,16.6,0,0
111,53031,27,0,0.011000000000000001,0.0,0.064,0.171,0.754,-42.0,-27.0,34.0,-39.0,-60.0,24.0,29872,16.6,0,0
112,53031,27,0,0.011000000000000001,0.0,0.064,0.171,0.754,-38.0,2.0,78.0,-27.0,-51.0,19.0,29872,16.6,0,0
113,53031,27,0,0.011000000000000001,0.0,0.064,0.171,0.754,-39.0,-16.0,13.0,-23.0,-37.0,16.0,29872,16.6,0,0
114,53053,802,16,0.027999999999999997,0.057,0.10300000000000001,0.20600000000000002,0.606,-34.0,-8.0,43.0,-39.0,-52.0,20.0,795225,476.3,0,0
115,6019,156,3,0.021,0.022000000000000002,0.059000000000000004,0.156,0.741,-36.0,-12.0,-51.0,-41.0,-46.0,18.0,930450,156.2,0,0
116,6039,30,2,0.019,0.059000000000000004,0.048,0.124,0.7509999999999999,-33.0,-18.0,-39.0,-6.0,-40.0,17.0,150865,70.6,1,0
117,6065,1179,32,0.026000000000000002,0.013999999999999999,0.040999999999999995,0.11599999999999999,0.8029999999999999,-44.0,-23.0,-64.0,-48.0,-51.0,22.0,2189641,303.8,0,0
